27, 125 pa2-unknown-h-our-output2.txt
  347.81,   224.02,   724.20
  347.05,   225.44,   849.13
  352.43,   348.08,   597.98
  351.59,   349.26,   722.86
  350.70,   350.49,   848.03
  356.23,   472.90,   596.72
  355.07,   473.96,   721.87
  353.92,   475.33,   846.85
  474.15,   219.62,   599.98
  473.12,   220.48,   724.95
  471.86,   221.89,   850.09
  477.36,   344.25,   598.94
  476.37,   345.50,   723.86
  475.60,   346.96,   849.19
  480.97,   469.14,   597.68
  480.30,   470.34,   722.69
  479.30,   471.75,   847.64
  223.45,   350.26,   101.38
  221.11,   349.44,   226.36
  219.32,   348.21,   351.38
  224.31,   475.26,   102.68
  222.12,   474.22,   227.74
  219.91,   473.28,   352.65
  224.84,   600.37,   103.65
  222.55,   599.39,   228.65
  220.59,   598.28,   353.56
  348.47,   349.74,   103.46
  346.25,   348.56,   228.69
  344.28,   347.66,   353.52
  348.96,   474.76,   104.71
  346.86,   473.42,   229.52
  345.06,   472.37,   354.74
  349.82,   599.54,   105.67
  347.73,   598.73,   230.96
  345.46,   597.59,   355.74
  473.43,   348.92,   105.71
  471.26,   347.91,   230.53
  469.34,   346.90,   355.74
  474.16,   473.89,   106.84
  472.02,   472.92,   231.76
  469.71,   471.72,   356.75
  474.86,   598.84,   107.98
  472.69,   597.86,   232.74
  470.56,   596.95,   357.83
  223.98,   350.41,   225.59
  223.84,   352.67,   350.74
  223.45,   354.61,   475.41
  225.79,   475.57,   223.44
  225.49,   477.48,   348.53
  225.24,   479.58,   473.46
  227.76,   600.20,   221.44
  227.21,   602.63,   346.29
  226.84,   604.45,   471.47
  349.10,   348.65,   225.84
  348.97,   350.77,   350.81
  348.38,   352.90,   475.87
  351.04,   473.52,   223.80
  350.48,   475.80,   348.65
  350.33,   477.72,   473.63
  352.45,   598.82,   221.63
  352.16,   600.62,   346.72
  352.00,   602.80,   471.78
  474.15,   346.95,   226.42
  473.69,   348.93,   351.33
  473.33,   351.28,   476.11
  475.79,   471.80,   224.21
  475.52,   474.02,   348.97
  475.39,   475.96,   474.03
  477.50,   597.06,   222.12
  477.31,   599.02,   347.18
  477.17,   601.12,   471.89
  226.41,   349.27,   351.76
  227.95,   349.62,   476.67
  229.32,   349.48,   601.51
  228.07,   474.52,   351.52
  229.51,   474.32,   476.40
  230.98,   474.57,   601.70
  229.82,   599.42,   351.53
  231.05,   599.42,   476.52
  232.77,   599.54,   601.53
  351.61,   347.58,   350.49
  352.84,   347.90,   475.51
  354.27,   347.78,   600.32
  353.32,   472.69,   350.04
  354.41,   472.73,   475.36
  355.76,   472.71,   600.22
  354.95,   597.53,   350.12
  356.19,   597.70,   475.01
  357.67,   597.88,   599.87
  476.37,   345.88,   348.82
  478.03,   346.14,   473.74
  479.16,   346.39,   598.93
  477.97,   470.90,   348.74
  479.37,   471.07,   473.66
  480.82,   471.22,   598.98
  479.88,   595.92,   348.85
  481.13,   596.03,   473.68
  482.48,   596.08,   598.52
  226.15,   349.59,   474.11
  223.13,   353.08,   599.10
  219.99,   356.74,   723.84
  223.64,   474.48,   470.73
  220.45,   477.74,   595.39
  217.00,   481.31,   720.42
  221.16,   599.35,   467.10
  217.58,   603.07,   592.07
  214.55,   606.49,   716.80
  351.25,   352.11,   477.30
  348.12,   355.89,   602.45
  344.73,   359.29,   727.20
  348.58,   477.25,   473.81
  345.45,   480.55,   598.74
  342.14,   484.26,   723.39
  346.00,   602.20,   470.28
  342.56,   605.51,   595.05
  339.53,   609.08,   719.80
  475.94,   354.75,   480.47
  472.88,   358.53,   605.46
  469.51,   362.13,   730.21
  473.43,   479.82,   476.98
  470.19,   483.40,   601.85
  467.24,   486.85,   726.79
  470.93,   604.90,   473.19
  467.48,   608.25,   598.05
  464.40,   611.70,   723.16
  225.22,   350.63,   601.14
  227.98,   349.33,   726.09
  230.66,   348.18,   851.09
  226.15,   475.55,   602.40
  228.54,   474.22,   727.38
  231.41,   473.14,   852.40
  226.76,   600.57,   603.62
  229.51,   599.12,   728.62
  232.01,   597.98,   853.69
  350.39,   349.89,   598.54
  352.94,   348.78,   723.51
  355.63,   347.46,   848.51
  350.88,   474.90,   599.86
  353.53,   473.90,   724.83
  356.26,   472.35,   849.66
  351.77,   599.92,   601.17
  354.45,   598.77,   725.92
  357.23,   597.50,   851.02
  475.34,   349.48,   596.02
  477.98,   348.16,   720.92
  480.70,   346.63,   846.03
  475.83,   474.35,   597.05
  478.85,   472.96,   722.23
  481.26,   471.86,   847.24
  476.71,   599.19,   598.43
  479.34,   597.85,   723.50
  481.74,   596.84,   848.57
  226.86,   475.64,   101.48
  225.11,   478.70,   226.40
  223.37,   481.71,   351.29
  228.06,   600.77,    98.50
  226.14,   603.76,   223.28
  224.33,   606.87,   348.20
  229.29,   725.64,    95.31
  227.66,   728.45,   220.43
  225.62,   731.85,   345.18
  351.71,   474.52,   103.27
  350.09,   477.45,   228.39
  348.14,   480.59,   353.26
  352.94,   599.48,   100.15
  351.34,   602.36,   225.14
  349.62,   605.69,   350.31
  354.31,   724.46,    97.47
  352.61,   727.67,   221.94
  350.57,   730.66,   346.92
  476.92,   473.19,   105.05
  474.86,   476.43,   229.98
  473.11,   479.29,   355.08
  478.20,   598.15,   102.24
  476.23,   601.28,   227.12
  474.26,   604.62,   351.88
  479.18,   723.12,    98.94
  477.42,   726.05,   223.87
  475.56,   729.19,   348.94
  226.26,   473.89,   224.77
  222.74,   475.00,   349.54
  219.08,   475.97,   474.83
  224.42,   598.87,   223.76
  220.99,   599.75,   348.69
  217.09,   600.62,   473.66
  222.83,   723.90,   222.83
  219.05,   724.65,   347.87
  215.57,   725.63,   472.97
  351.22,   475.85,   228.56
  347.53,   476.82,   353.45
  343.78,   477.66,   478.15
  349.51,   600.85,   227.42
  345.77,   601.81,   352.29
  342.31,   602.69,   477.53
  347.81,   725.59,   226.66
  344.20,   726.73,   351.61
  340.24,   727.59,   476.49
  476.28,   477.64,   231.98
  472.49,   478.52,   356.92
  468.70,   479.46,   482.01
  474.61,   602.61,   230.96
  470.79,   603.60,   356.08
  467.02,   604.38,   480.93
  472.44,   727.67,   230.11
  469.07,   728.33,   355.39
  465.20,   729.30,   479.99
  223.58,   475.39,   351.42
  220.75,   473.17,   476.53
  217.80,   470.80,   601.56
  222.08,   600.44,   353.81
  219.42,   598.24,   478.86
  216.26,   595.80,   603.79
  220.63,   725.57,   356.20
  217.73,   723.07,   481.23
  214.95,   720.89,   605.93
  348.25,   476.78,   354.28
  345.72,   474.49,   479.27
  342.67,   472.14,   604.21
  347.09,   602.02,   356.74
  344.43,   599.40,   481.71
  341.61,   597.28,   606.42
  345.44,   727.01,   359.11
  342.60,   724.52,   484.01
  340.07,   722.17,   608.77
  473.23,   478.31,   357.07
  470.47,   475.87,   482.05
  467.75,   473.68,   607.05
  472.06,   603.38,   359.49
  469.13,   600.74,   484.41
  466.36,   598.59,   609.37
  470.39,   728.25,   361.85
  467.85,   725.74,   486.57
  464.76,   723.68,   611.78
  224.09,   473.14,   474.70
  221.66,   471.80,   599.55
  219.14,   470.06,   724.52
  222.07,   597.99,   475.87
  219.56,   596.52,   600.95
  217.13,   595.08,   725.89
  220.49,   723.20,   477.54
  218.02,   721.67,   602.25
  215.38,   720.24,   727.36
  348.89,   474.65,   476.85
  346.47,   473.23,   602.08
  343.89,   471.74,   726.97
  347.41,   599.64,   478.27
  344.62,   598.44,   603.54
  342.25,   596.95,   728.47
  345.26,   724.64,   480.03
  342.96,   723.33,   604.74
  340.38,   721.91,   729.64
  473.90,   476.45,   479.74
  471.54,   475.21,   604.73
  469.13,   473.50,   729.31
  472.22,   601.50,   480.83
  469.45,   600.20,   606.12
  466.91,   598.65,   731.14
  470.35,   726.25,   482.27
  468.01,   724.98,   607.43
  465.30,   723.42,   732.36
  226.72,   475.79,   598.66
  225.71,   473.32,   723.86
  224.69,   470.81,   848.75
  225.70,   600.44,   601.13
  224.35,   598.35,   726.00
  223.52,   595.89,   850.91
  224.37,   725.70,   603.48
  222.97,   723.05,   728.35
  222.04,   720.84,   853.43
  351.78,   477.09,   599.79
  350.95,   474.51,   724.98
  349.52,   472.19,   849.86
  350.70,   601.74,   602.42
  349.30,   599.60,   727.39
  348.23,   597.29,   852.13
  349.01,   726.84,   604.64
  348.23,   724.55,   729.69
  346.73,   722.37,   854.57
  476.95,   478.15,   601.17
  475.66,   475.78,   725.92
  474.69,   473.46,   850.88
  475.36,   603.46,   603.33
  474.42,   600.73,   728.49
  473.32,   598.67,   853.44
  474.21,   728.22,   605.57
  473.06,   726.01,   730.55
  472.21,   723.36,   855.58
  223.21,   601.46,   102.00
  222.29,   599.14,   226.92
  221.31,   596.30,   352.12
  223.36,   726.66,   104.36
  222.57,   723.93,   229.52
  221.68,   721.51,   354.50
  223.26,   851.64,   107.35
  222.38,   849.12,   232.48
  221.45,   846.18,   357.11
  348.33,   601.78,   102.85
  347.51,   599.25,   227.80
  346.73,   596.46,   352.72
  348.31,   726.61,   105.56
  347.63,   723.94,   230.53
  346.68,   721.22,   355.34
  348.20,   851.55,   108.30
  347.61,   848.82,   233.26
  346.36,   846.50,   358.12
  473.53,   601.71,   103.64
  472.40,   598.93,   228.64
  471.39,   596.53,   353.83
  473.23,   726.57,   106.26
  472.49,   723.81,   231.57
  471.43,   721.50,   356.47
  473.30,   851.76,   109.03
  472.29,   848.80,   234.16
  471.31,   846.27,   359.06
  226.75,   601.16,   224.82
  228.29,   603.71,   349.79
  229.58,   606.42,   474.64
  225.08,   726.00,   222.32
  226.58,   728.64,   347.19
  228.03,   731.33,   472.06
  223.60,   850.87,   219.54
  225.13,   853.45,   344.60
  226.19,   856.19,   469.44
  351.75,   602.60,   223.30
  353.06,   605.35,   348.39
  354.41,   607.73,   473.11
  350.21,   727.65,   220.73
  351.56,   730.31,   345.56
  353.13,   732.60,   470.49
  348.64,   852.67,   218.01
  350.13,   855.33,   343.20
  351.48,   857.91,   467.97
  477.00,   604.13,   222.02
  478.13,   606.85,   346.80
  479.73,   609.51,   471.83
  475.05,   729.33,   219.43
  476.68,   731.82,   344.57
  478.04,   734.27,   469.34
  473.64,   854.07,   216.77
  474.82,   856.77,   342.10
  476.37,   859.14,   466.62
  226.17,   598.51,   351.74
  223.89,   599.22,   476.61
  221.85,   600.04,   601.70
  223.46,   723.40,   351.16
  221.16,   724.16,   475.98
  219.08,   724.73,   600.96
  220.56,   848.54,   350.38
  218.36,   849.14,   475.39
  216.28,   849.66,   600.33
  351.20,   601.24,   353.84
  349.14,   601.97,   478.87
  346.50,   602.49,   603.82
  348.38,   726.45,   353.03
  346.12,   726.82,   477.94
  343.85,   727.69,   603.06
  345.62,   851.31,   352.43
  343.29,   851.97,   477.46
  341.13,   852.65,   602.56
  476.12,   604.02,   356.01
  473.95,   604.86,   481.29
  471.37,   605.41,   606.03
  473.09,   729.21,   355.38
  470.87,   729.64,   480.21
  468.77,   730.58,   605.56
  470.55,   854.30,   354.83
  468.41,   854.60,   479.62
  465.89,   855.21,   604.65
  223.35,   600.50,   473.49
  220.47,   598.82,   598.44
  217.49,   596.71,   723.53
  219.74,   725.31,   475.34
  217.02,   723.55,   600.24
  213.82,   721.80,   725.27
  216.39,   850.54,   477.12
  213.50,   848.35,   601.99
  210.64,   846.73,   726.99
  348.31,   604.08,   476.73
  345.13,   602.05,   601.64
  342.28,   600.34,   726.68
  344.65,   728.64,   478.48
  341.87,   726.93,   603.30
  338.89,   725.20,   728.42
  341.26,   853.65,   480.22
  338.47,   852.05,   605.24
  335.32,   850.14,   730.01
  473.26,   607.34,   479.82
  470.18,   605.67,   604.79
  467.10,   603.50,   729.69
  469.65,   732.23,   481.43
  466.60,   730.41,   606.60
  463.96,   728.72,   731.49
  466.55,   857.05,   483.13
  463.24,   855.37,   608.14
  460.57,   853.27,   733.07
  226.17,   598.86,   599.98
  227.90,   598.72,   725.21
  230.00,   598.60,   849.86
  228.60,   723.74,   600.42
  230.42,   723.37,   725.17
  232.38,   723.37,   850.18
  230.80,   848.92,   600.26
  232.66,   848.59,   725.64
  234.74,   848.22,   850.51
  351.00,   596.57,   597.87
  353.10,   596.27,   722.86
  354.84,   596.28,   848.20
  353.52,   721.65,   598.17
  355.44,   721.07,   723.25
  357.12,   720.95,   848.45
  355.46,   846.62,   598.52
  357.58,   846.40,   723.21
  359.35,   846.12,   848.52
  476.20,   594.47,   596.04
  478.02,   593.86,   721.05
  479.67,   593.92,   846.09
  478.50,   719.18,   596.35
  480.10,   719.19,   721.13
  482.21,   718.73,   846.03
  480.75,   844.28,   596.56
  482.56,   843.85,   721.60
  484.69,   843.91,   846.47
  351.84,    98.76,   100.95
  349.56,    95.92,   225.80
  347.45,    93.23,   350.98
  352.04,   223.77,   103.44
  349.98,   220.97,   228.74
  347.59,   218.41,   353.71
  352.21,   348.61,   106.50
  350.11,   346.08,   231.28
  348.20,   343.34,   356.18
  476.79,    98.54,   102.94
  474.71,    95.77,   227.91
  472.47,    93.05,   352.84
  476.95,   223.41,   105.94
  474.94,   220.81,   230.62
  472.53,   217.74,   355.87
  477.30,   348.39,   108.40
  475.15,   345.76,   233.48
  473.18,   342.98,   358.34
  601.94,    98.25,   105.23
  599.52,    95.25,   230.21
  597.52,    92.44,   355.20
  601.85,   222.89,   107.80
  599.88,   220.34,   233.05
  597.74,   217.49,   357.79
  602.20,   347.90,   110.45
  600.20,   345.37,   235.66
  598.21,   342.56,   360.59
  349.00,    98.38,   225.51
  352.02,    97.20,   350.43
  355.16,    96.08,   475.35
  350.08,   223.52,   226.55
  352.95,   222.22,   351.64
  355.82,   221.05,   476.63
  351.02,   348.39,   227.81
  353.66,   347.47,   352.77
  356.96,   346.01,   477.57
  474.06,    97.60,   222.32
  476.99,    96.40,   347.28
  480.33,    95.09,   472.23
  474.88,   222.70,   223.57
  477.87,   221.28,   348.60
  481.09,   220.32,   473.66
  475.78,   347.79,   224.70
  478.65,   346.54,   349.76
  481.77,   345.08,   474.84
  599.00,    96.93,   219.49
  602.25,    95.70,   344.48
  604.86,    94.64,   469.20
  599.80,   221.68,   220.56
  602.81,   220.77,   345.46
  605.83,   219.60,   470.56
  600.90,   347.03,   221.87
  603.70,   345.66,   346.72
  606.93,   344.48,   471.90
  348.81,   101.39,   351.37
  349.13,   100.90,   476.31
  349.42,   100.38,   601.42
  350.78,   226.32,   351.78
  351.17,   225.95,   476.61
  351.39,   225.44,   601.59
  353.00,   351.23,   352.36
  353.18,   350.61,   477.06
  353.56,   350.32,   602.22
  473.80,    99.30,   351.19
  474.08,    99.00,   476.02
  474.46,    98.43,   601.12
  475.84,   224.22,   351.28
  476.05,   223.77,   476.41
  476.40,   223.25,   601.49
  477.67,   349.31,   351.81
  478.21,   348.64,   476.85
  478.45,   348.27,   601.65
  598.89,    97.07,   350.69
  599.12,    96.70,   475.52
  599.34,    96.20,   600.45
  600.61,   222.14,   351.24
  601.17,   221.58,   476.21
  601.53,   221.20,   601.16
  602.74,   347.06,   351.47
  603.14,   346.91,   476.47
  603.31,   346.39,   601.34
  350.07,   101.07,   475.17
  349.72,   101.41,   600.10
  349.75,   101.75,   725.23
  353.00,   225.91,   475.04
  352.84,   226.36,   599.87
  352.85,   226.78,   724.98
  356.18,   351.02,   474.73
  356.22,   351.11,   599.69
  355.95,   351.44,   724.71
  474.93,    97.84,   475.48
  474.63,    98.23,   600.54
  474.70,    98.47,   725.42
  478.13,   222.79,   475.20
  477.85,   223.15,   599.95
  477.87,   223.47,   725.05
  481.00,   347.93,   474.93
  481.04,   348.13,   599.98
  480.88,   348.41,   724.67
  599.79,    95.01,   475.43
  599.59,    95.20,   600.54
  599.48,    95.23,   725.48
  602.85,   219.92,   475.32
  602.88,   220.23,   600.40
  602.88,   220.45,   725.05
  605.96,   344.94,   475.00
  606.05,   345.16,   599.87
  605.88,   345.25,   724.95
  350.67,   100.21,   599.60
  347.24,   101.41,   724.37
  343.78,   102.32,   849.34
  354.19,   225.21,   598.60
  350.63,   226.33,   723.51
  347.09,   227.37,   848.37
  357.79,   350.00,   597.34
  354.05,   351.06,   722.29
  350.70,   352.20,   847.27
  475.50,    96.79,   602.94
  471.90,    97.86,   727.85
  468.56,    99.00,   852.77
  478.87,   221.88,   602.10
  475.69,   222.96,   726.80
  472.10,   223.93,   851.93
  482.42,   346.70,   601.08
  478.84,   347.77,   726.12
  475.54,   348.88,   850.79
  600.31,    93.40,   606.68
  597.08,    94.40,   731.51
  593.41,    95.50,   856.53
  603.78,   218.31,   605.49
  600.35,   219.59,   730.63
  596.81,   220.41,   855.47
  607.16,   343.37,   604.70
  603.90,   344.47,   729.51
  600.44,   345.56,   854.37
  349.58,   226.11,   101.66
  348.21,   227.39,   226.46
  347.23,   228.57,   351.65
  349.48,   350.71,   100.02
  348.30,   352.16,   225.28
  347.33,   353.57,   350.01
  349.87,   476.06,    98.77
  348.59,   477.30,   223.61
  347.20,   478.40,   348.87
  474.55,   225.72,   102.79
  473.32,   227.11,   227.79
  472.28,   228.53,   352.48
  474.52,   350.63,   101.19
  473.34,   352.00,   226.13
  472.17,   353.28,   351.14
  474.68,   475.95,   100.19
  473.42,   476.89,   224.98
  472.39,   478.29,   350.13
  599.32,   225.70,   103.92
  598.47,   227.15,   228.84
  597.22,   228.54,   354.00
  599.62,   350.74,   102.60
  598.52,   351.88,   227.33
  597.06,   353.36,   352.64
  599.49,   475.51,   101.15
  598.60,   476.81,   226.04
  597.55,   478.27,   351.12
  347.90,   224.59,   224.70
  346.06,   221.07,   349.49
  344.21,   218.05,   474.53
  350.57,   349.37,   227.70
  348.74,   346.32,   352.59
  347.04,   342.93,   477.50
  353.51,   474.47,   231.00
  351.55,   470.94,   356.10
  349.49,   467.97,   481.00
  473.07,   221.57,   226.27
  471.07,   218.43,   351.34
  469.37,   215.51,   476.17
  475.71,   346.57,   229.54
  473.90,   343.55,   354.51
  471.91,   340.22,   479.41
  478.20,   471.60,   232.97
  476.56,   468.43,   357.56
  474.71,   465.21,   482.68
  597.78,   218.89,   228.21
  596.12,   215.92,   353.29
  594.24,   212.81,   478.00
  600.63,   343.94,   231.50
  598.85,   340.80,   356.45
  596.75,   337.62,   481.24
  603.37,   468.64,   234.66
  601.39,   465.79,   359.43
  599.52,   462.61,   484.52
  350.44,   224.52,   349.19
  351.76,   221.24,   474.16
  352.81,   217.72,   599.25
  354.30,   349.41,   352.50
  355.24,   346.16,   477.51
  356.14,   342.61,   602.62
  357.76,   474.13,   356.03
  358.93,   470.82,   480.98
  359.73,   467.39,   605.94
  475.64,   220.82,   348.11
  476.62,   217.32,   473.16
  477.52,   214.13,   597.82
  479.28,   345.63,   351.50
  480.34,   342.53,   476.50
  481.18,   339.04,   601.55
  482.64,   470.47,   354.96
  483.87,   467.45,   480.01
  484.72,   464.02,   604.82
  600.30,   217.21,   347.11
  601.40,   213.66,   471.88
  602.48,   210.26,   596.96
  603.93,   342.30,   350.53
  605.25,   338.61,   475.25
  606.13,   335.49,   600.30
  607.69,   467.22,   353.55
  608.65,   463.62,   478.59
  609.93,   460.38,   603.40
  351.23,   222.97,   473.02
  354.30,   220.09,   598.23
  357.16,   216.66,   722.91
  354.71,   347.81,   476.27
  358.08,   345.01,   600.93
  360.88,   341.63,   726.14
  358.66,   472.75,   479.07
  361.66,   469.70,   603.99
  364.59,   466.85,   729.13
  475.90,   219.24,   469.99
  478.98,   216.33,   594.68
  482.12,   213.29,   719.65
  479.63,   344.49,   472.91
  482.79,   341.25,   597.87
  485.89,   338.08,   722.71
  483.36,   469.39,   475.80
  486.52,   466.12,   600.83
  489.59,   463.05,   725.85
  601.00,   215.69,   466.64
  603.97,   212.85,   591.86
  607.04,   209.46,   716.64
  604.64,   340.55,   469.91
  607.67,   337.57,   594.53
  610.70,   334.63,   719.51
  608.42,   465.48,   472.85
  611.39,   462.29,   597.75
  614.41,   459.37,   722.65
  351.74,   224.65,   600.51
  355.46,   227.63,   725.55
  358.87,   230.26,   850.31
  351.85,   349.68,   597.81
  355.25,   352.28,   722.85
  358.83,   355.32,   847.42
  351.97,   474.75,   595.17
  355.32,   477.48,   719.66
  358.72,   479.96,   844.67
  476.78,   224.47,   597.14
  480.27,   227.26,   721.84
  483.70,   230.43,   846.87
  476.81,   349.73,   594.42
  480.14,   352.51,   719.37
  483.78,   355.31,   844.31
  476.98,   474.58,   591.58
  480.35,   477.20,   716.52
  483.72,   480.01,   841.19
  601.71,   224.43,   593.87
  605.32,   227.35,   718.66
  608.52,   230.22,   843.60
  601.80,   349.43,   590.80
  605.22,   352.41,   715.80
  608.49,   355.18,   840.70
  601.73,   474.68,   587.95
  605.38,   477.51,   713.07
  608.54,   479.95,   837.98
  349.32,   351.37,    99.61
  346.81,   348.90,   224.82
  344.65,   346.45,   349.63
  351.62,   476.31,   102.27
  349.61,   473.90,   227.01
  347.17,   471.67,   351.93
  354.41,   601.38,   104.69
  351.85,   599.05,   229.52
  349.70,   596.43,   354.40
  474.17,   348.95,   101.92
  472.03,   346.40,   226.86
  469.43,   344.19,   352.09
  476.81,   473.91,   104.29
  474.48,   471.50,   229.60
  472.20,   469.12,   354.31
  479.07,   598.88,   106.85
  476.75,   596.52,   231.63
  474.48,   594.07,   356.65
  599.22,   346.23,   104.16
  596.94,   344.17,   228.99
  594.50,   341.35,   354.07
  601.62,   471.29,   106.68
  599.20,   469.01,   231.55
  596.98,   466.56,   356.71
  604.05,   596.15,   109.23
  601.95,   593.94,   233.92
  599.66,   591.32,   359.22
  352.09,   350.98,   224.59
  354.42,   352.90,   349.59
  356.86,   354.89,   474.69
  353.69,   476.00,   222.60
  356.14,   477.92,   347.55
  358.52,   479.83,   472.63
  355.62,   600.80,   220.45
  358.08,   603.01,   345.61
  360.42,   604.90,   470.63
  476.79,   348.91,   222.14
  479.35,   351.11,   347.38
  481.78,   353.08,   472.04
  478.53,   473.89,   220.20
  481.18,   475.73,   345.09
  483.58,   477.77,   469.97
  480.70,   598.91,   218.06
  482.92,   600.87,   343.05
  485.45,   602.93,   468.14
  601.93,   347.14,   219.82
  604.33,   349.18,   344.78
  606.58,   350.95,   469.69
  603.84,   472.02,   217.96
  606.02,   473.89,   342.92
  608.65,   476.05,   467.59
  605.78,   597.02,   215.78
  608.09,   598.80,   340.78
  610.39,   600.97,   465.94
  348.49,   351.50,   348.80
  350.66,   354.07,   473.88
  352.28,   356.38,   598.89
  346.94,   476.38,   346.58
  348.75,   478.83,   471.21
  350.47,   481.34,   596.23
  345.17,   601.36,   343.81
  346.84,   604.00,   468.83
  348.99,   606.52,   593.90
  473.43,   353.22,   347.24
  475.33,   355.77,   472.14
  477.21,   358.03,   596.80
  471.68,   478.06,   344.63
  473.78,   480.44,   469.62
  475.69,   483.22,   594.38
  469.99,   603.09,   341.93
  471.85,   605.44,   467.03
  473.91,   608.01,   591.87
  598.42,   354.91,   345.07
  600.40,   357.49,   470.33
  602.42,   359.80,   595.20
  596.85,   479.81,   342.85
  598.81,   482.12,   467.62
  600.59,   484.65,   592.39
  595.00,   604.80,   340.10
  596.70,   607.13,   465.02
  598.65,   609.81,   590.08
  351.50,   348.83,   473.22
  348.32,   347.95,   597.90
  345.13,   346.76,   722.88
  353.72,   473.63,   474.02
  350.57,   472.79,   599.07
  347.49,   471.87,   724.03
  356.35,   598.68,   475.13
  353.09,   597.93,   600.24
  349.79,   596.75,   725.11
  476.46,   346.74,   476.30
  473.34,   345.63,   601.03
  470.31,   344.61,   726.03
  478.87,   471.33,   477.27
  475.81,   470.64,   602.41
  472.64,   469.65,   727.18
  481.19,   596.57,   478.23
  478.00,   595.56,   603.40
  474.57,   594.43,   728.19
  601.60,   344.28,   479.28
  598.23,   343.44,   604.22
  595.13,   342.36,   729.24
  603.60,   469.39,   480.29
  600.74,   468.16,   605.58
  597.33,   467.24,   730.17
  606.09,   594.10,   481.45
  602.72,   593.25,   606.45
  599.50,   592.26,   731.29
  350.69,   350.78,   597.94
  351.83,   351.24,   723.21
  353.44,   351.95,   847.93
  346.86,   475.62,   597.56
  348.38,   476.57,   722.63
  349.65,   477.09,   847.56
  343.49,   600.56,   596.97
  344.75,   601.06,   721.88
  346.39,   601.92,   847.08
  475.70,   354.33,   596.86
  476.98,   354.87,   721.87
  478.25,   355.67,   846.59
  471.98,   479.21,   596.17
  473.35,   479.97,   721.08
  474.68,   480.38,   845.95
  468.37,   604.42,   595.74
  469.59,   604.95,   720.47
  471.25,   605.50,   845.52
  600.61,   357.85,   595.39
  601.72,   358.45,   720.33
  603.26,   358.95,   845.42
  597.03,   482.70,   594.84
  598.40,   483.55,   719.63
  599.59,   484.09,   844.91
  593.49,   607.89,   594.20
  594.78,   608.56,   719.24
  595.93,   609.06,   844.36
  350.59,   476.83,   100.57
  351.83,   477.74,   225.73
  353.50,   478.83,   350.74
  350.86,   601.61,    99.73
  352.40,   602.74,   224.76
  354.15,   603.75,   349.75
  351.45,   726.87,    99.01
  353.09,   727.80,   223.53
  354.76,   728.98,   348.70
  475.47,   476.24,    99.42
  477.10,   477.20,   224.41
  478.30,   478.24,   349.25
  476.14,   601.15,    98.34
  477.40,   602.41,   223.05
  478.96,   603.31,   348.38
  476.57,   726.30,    97.00
  477.89,   727.15,   222.16
  479.34,   728.23,   347.40
  600.58,   475.69,    97.74
  602.10,   476.62,   222.71
  603.65,   477.86,   347.53
  600.98,   600.66,    96.68
  602.70,   601.72,   221.59
  604.13,   602.79,   346.50
  601.56,   725.56,    96.10
  602.93,   726.57,   220.50
  604.55,   727.91,   345.65
  351.23,   475.33,   226.87
  353.63,   472.77,   351.54
  355.82,   469.96,   476.51
  348.99,   600.32,   229.76
  351.40,   597.41,   354.54
  354.17,   594.68,   479.48
  347.04,   725.24,   232.26
  349.53,   722.63,   357.43
  351.79,   719.69,   482.05
  476.07,   477.34,   224.20
  478.46,   474.75,   349.30
  480.85,   471.72,   474.39
  473.82,   602.50,   227.01
  476.69,   599.71,   352.04
  478.90,   597.04,   476.93
  472.03,   727.38,   230.09
  474.54,   724.77,   355.06
  476.73,   721.92,   479.69
  600.92,   479.59,   222.01
  603.58,   476.70,   346.69
  605.78,   474.06,   471.79
  598.97,   604.63,   224.58
  601.34,   601.80,   349.65
  603.84,   598.82,   474.81
  597.05,   729.40,   227.68
  599.49,   726.82,   352.45
  601.77,   723.69,   477.62
  349.03,   474.95,   348.24
  350.65,   474.39,   473.35
  351.77,   473.97,   598.22
  345.91,   599.84,   348.82
  347.04,   599.54,   473.89
  348.39,   599.02,   598.55
  342.20,   724.89,   349.22
  343.62,   724.18,   474.11
  344.83,   724.08,   599.23
  474.05,   478.35,   346.83
  475.42,   477.93,   471.85
  476.99,   477.38,   596.87
  470.65,   603.41,   347.30
  472.23,   602.72,   472.61
  473.25,   602.54,   597.40
  467.18,   728.20,   348.13
  468.41,   727.82,   472.86
  470.01,   727.20,   597.78
  599.16,   481.68,   345.57
  600.47,   481.45,   470.72
  601.94,   480.81,   595.59
  595.62,   606.67,   346.26
  597.13,   606.20,   471.22
  598.35,   605.73,   596.07
  592.07,   731.68,   346.44
  593.33,   731.07,   471.64
  595.01,   730.68,   596.70
  350.84,   476.97,   474.34
  347.32,   478.49,   599.15
  343.77,   479.91,   724.04
  354.18,   601.74,   472.68
  350.51,   603.19,   597.94
  346.94,   605.11,   722.80
  357.36,   726.80,   471.39
  353.81,   728.52,   596.23
  350.30,   729.81,   721.04
  475.65,   473.53,   477.90
  472.33,   475.38,   602.70
  468.86,   476.87,   727.66
  479.03,   598.55,   476.33
  475.38,   600.07,   601.36
  471.67,   601.81,   726.20
  482.31,   723.71,   474.84
  478.65,   725.01,   599.78
  474.97,   726.64,   724.92
  600.62,   470.33,   481.59
  597.00,   472.26,   606.57
  593.70,   473.75,   731.58
  604.09,   595.61,   480.10
  600.29,   597.26,   605.15
