27, 125 pa2-unknown-g-our-output2.txt
  348.94,   220.92,   723.95
  349.07,   221.91,   848.92
  351.96,   344.79,   597.85
  352.09,   345.73,   722.88
  352.23,   346.82,   847.97
  355.23,   469.73,   596.93
  355.36,   470.80,   721.95
  355.43,   471.77,   846.84
  473.74,   216.61,   598.87
  473.82,   217.60,   723.87
  473.85,   218.58,   848.83
  476.95,   341.55,   597.83
  477.04,   342.60,   722.81
  477.17,   343.63,   847.84
  480.18,   466.57,   596.84
  480.30,   467.59,   721.81
  480.39,   468.52,   846.77
  225.27,   348.81,    98.77
  222.32,   345.19,   223.66
  219.50,   341.60,   348.63
  224.72,   473.72,   102.40
  221.99,   470.12,   227.34
  219.11,   466.51,   352.16
  224.52,   598.72,   105.97
  221.58,   595.08,   230.87
  218.73,   591.48,   355.78
  350.26,   349.11,   101.59
  347.33,   345.41,   226.47
  344.47,   341.87,   351.46
  349.67,   473.96,   105.25
  346.95,   470.43,   230.20
  344.06,   466.76,   355.03
  349.48,   598.97,   108.78
  346.53,   595.32,   233.72
  343.72,   591.76,   358.68
  475.20,   349.35,   104.48
  472.26,   345.72,   229.39
  469.43,   342.19,   354.31
  474.67,   474.41,   108.13
  471.93,   470.82,   233.04
  469.05,   467.13,   357.88
  474.37,   599.26,   111.63
  471.52,   595.61,   236.60
  468.67,   592.09,   361.45
  224.94,   349.56,   224.66
  227.38,   350.03,   349.69
  229.82,   350.51,   474.66
  225.17,   474.54,   224.30
  227.56,   474.98,   349.18
  230.03,   475.32,   474.18
  225.32,   599.56,   223.77
  227.74,   600.02,   348.76
  230.19,   600.52,   473.77
  349.94,   349.29,   222.20
  352.36,   349.80,   347.24
  354.80,   350.28,   472.21
  350.14,   474.37,   221.89
  352.52,   474.76,   346.76
  354.99,   475.15,   471.80
  350.28,   599.31,   221.32
  352.73,   599.80,   346.36
  355.18,   600.30,   471.32
  474.89,   349.11,   219.83
  477.33,   349.64,   344.81
  479.78,   350.09,   469.78
  475.12,   474.27,   219.44
  477.52,   474.65,   344.33
  479.96,   475.06,   469.36
  475.27,   599.09,   218.93
  477.70,   599.63,   343.84
  480.15,   600.08,   468.90
  223.80,   348.07,   349.54
  220.47,   347.00,   474.49
  217.08,   345.89,   599.42
  225.97,   473.01,   350.65
  222.69,   471.77,   475.63
  219.39,   470.70,   600.61
  228.18,   598.00,   351.87
  224.86,   596.93,   476.85
  221.47,   595.80,   601.77
  348.74,   345.82,   352.83
  345.41,   344.73,   477.77
  342.03,   343.58,   602.66
  350.90,   470.74,   353.98
  347.61,   469.56,   478.99
  344.29,   468.54,   603.94
  353.12,   595.77,   355.21
  349.81,   594.69,   480.14
  346.41,   593.55,   605.01
  473.66,   343.62,   356.14
  470.35,   342.50,   481.08
  467.00,   341.34,   606.03
  475.86,   468.59,   357.29
  472.54,   467.45,   482.29
  469.22,   466.38,   607.24
  478.04,   593.58,   358.42
  474.74,   592.44,   483.47
  471.37,   591.27,   608.36
  223.50,   350.72,   476.78
  221.00,   347.74,   601.70
  218.56,   344.68,   726.62
  226.67,   475.45,   479.81
  224.26,   472.51,   604.77
  221.80,   469.59,   729.71
  229.79,   600.57,   482.89
  227.29,   597.56,   607.80
  224.85,   594.50,   732.71
  348.45,   347.48,   479.12
  345.95,   344.45,   604.00
  343.54,   341.38,   728.99
  351.60,   472.26,   482.22
  349.15,   469.37,   607.16
  346.73,   466.42,   732.13
  354.74,   597.34,   485.25
  352.23,   594.31,   610.10
  349.85,   591.27,   735.15
  473.39,   344.28,   481.49
  470.92,   341.24,   606.43
  468.46,   338.26,   731.36
  476.52,   469.17,   484.58
  474.08,   466.23,   609.51
  471.64,   463.22,   734.44
  479.67,   594.11,   487.63
  477.19,   591.08,   612.50
  474.75,   588.09,   737.48
  224.77,   350.62,   601.06
  227.27,   347.07,   725.97
  229.77,   343.62,   850.93
  226.30,   475.41,   604.53
  228.77,   472.01,   729.46
  231.21,   468.50,   854.36
  227.62,   600.49,   607.94
  230.12,   596.95,   732.84
  232.64,   593.51,   857.81
  349.74,   349.18,   598.49
  352.24,   345.63,   723.45
  354.75,   342.24,   848.46
  351.23,   474.12,   602.02
  353.73,   470.70,   726.98
  356.15,   467.17,   851.79
  352.60,   599.09,   605.35
  355.12,   595.56,   730.38
  357.60,   592.18,   855.22
  474.74,   347.81,   596.02
  477.21,   344.35,   720.94
  479.70,   340.91,   845.90
  476.20,   472.81,   599.49
  478.67,   469.34,   724.40
  481.14,   465.78,   849.29
  477.59,   597.68,   602.88
  480.06,   594.23,   727.82
  482.54,   590.72,   852.85
  223.18,   475.85,    98.90
  221.59,   474.82,   223.93
  219.85,   473.80,   348.81
  221.15,   600.88,    99.88
  219.37,   599.82,   224.85
  217.65,   598.79,   349.84
  218.83,   725.74,   100.90
  217.18,   724.78,   225.87
  215.47,   723.74,   350.92
  348.12,   477.96,   100.63
  346.56,   477.02,   225.67
  344.80,   475.92,   350.56
  346.17,   603.01,   101.60
  344.32,   601.93,   226.57
  342.64,   600.96,   351.63
  343.81,   727.98,   102.57
  342.17,   726.93,   227.63
  340.43,   726.02,   352.64
  473.14,   480.30,   102.39
  471.54,   479.30,   227.38
  469.78,   478.19,   352.28
  471.07,   605.20,   103.30
  469.31,   604.10,   228.34
  467.59,   603.16,   353.26
  468.65,   730.13,   104.37
  467.15,   729.22,   229.41
  465.41,   728.07,   354.23
  224.00,   473.54,   227.01
  223.16,   473.30,   351.92
  222.39,   472.93,   476.94
  225.36,   598.55,   227.20
  224.56,   598.31,   352.22
  223.77,   598.10,   477.25
  226.78,   723.52,   227.47
  225.97,   723.28,   352.54
  225.16,   722.91,   477.39
  348.98,   472.17,   227.83
  348.14,   471.85,   352.74
  347.37,   471.54,   477.80
  350.34,   597.10,   227.99
  349.56,   596.90,   353.05
  348.78,   596.69,   478.04
  351.77,   722.11,   228.31
  350.95,   721.97,   353.33
  350.12,   721.58,   478.20
  473.98,   470.86,   228.60
  473.15,   470.54,   353.53
  472.35,   470.25,   478.59
  475.35,   595.69,   228.83
  474.53,   595.53,   353.77
  473.75,   595.27,   478.85
  476.77,   720.80,   229.15
  475.95,   720.45,   353.98
  475.09,   720.12,   479.19
  226.95,   474.35,   350.29
  227.21,   476.40,   475.31
  227.45,   478.61,   600.31
  224.57,   599.33,   348.15
  224.80,   601.55,   473.17
  224.96,   603.71,   598.12
  222.22,   724.27,   346.07
  222.43,   726.31,   470.89
  222.67,   728.57,   596.07
  351.92,   476.68,   350.05
  352.18,   478.79,   475.09
  352.40,   481.06,   600.07
  349.57,   601.69,   347.93
  349.80,   603.91,   472.90
  349.95,   606.04,   597.79
  347.19,   726.73,   345.80
  347.37,   728.75,   470.63
  347.68,   731.05,   595.74
  476.91,   479.13,   349.78
  477.15,   481.27,   474.82
  477.36,   483.49,   599.80
  474.53,   604.08,   347.58
  474.76,   606.24,   472.66
  474.95,   608.35,   597.58
  472.18,   728.98,   345.37
  472.33,   731.06,   470.56
  472.64,   733.38,   595.49
  223.22,   474.24,   476.73
  220.62,   473.09,   601.72
  217.98,   471.99,   726.69
  225.83,   599.39,   478.01
  223.15,   598.19,   602.94
  220.54,   596.93,   727.87
  228.48,   724.17,   479.14
  225.86,   723.08,   604.30
  223.26,   721.92,   729.10
  348.15,   471.58,   479.38
  345.52,   470.49,   604.34
  342.92,   469.33,   729.35
  350.79,   596.71,   480.60
  348.11,   595.47,   605.48
  345.54,   594.23,   730.54
  353.39,   721.56,   481.75
  350.82,   720.48,   606.80
  348.15,   719.14,   731.79
  473.08,   469.01,   481.97
  470.46,   467.88,   606.93
  467.85,   466.68,   731.88
  475.73,   594.00,   483.22
  473.07,   592.76,   608.11
  470.44,   591.58,   733.10
  478.33,   718.84,   484.55
  475.75,   717.76,   609.40
  473.12,   716.64,   734.38
  225.08,   476.56,   599.97
  223.71,   478.55,   724.95
  222.33,   480.41,   849.92
  223.55,   601.68,   598.03
  222.22,   603.51,   722.97
  220.89,   605.43,   848.03
  222.24,   726.56,   596.21
  220.93,   728.53,   721.06
  219.48,   730.49,   846.08
  350.02,   478.05,   601.32
  348.69,   480.01,   726.33
  347.29,   481.87,   851.17
  348.55,   603.05,   599.28
  347.25,   604.88,   724.34
  345.93,   606.90,   849.29
  347.26,   728.07,   597.46
  345.84,   729.88,   722.46
  344.59,   731.70,   847.35
  475.00,   479.53,   602.64
  473.66,   481.42,   727.60
  472.29,   483.24,   852.54
  473.56,   604.41,   600.66
  472.20,   606.33,   725.63
  470.85,   608.23,   850.75
  472.23,   729.45,   598.81
  470.86,   731.42,   723.73
  469.37,   733.38,   848.73
  223.50,   601.69,    98.65
  220.94,   603.42,   223.60
  218.45,   605.19,   348.57
  222.89,   726.59,    96.92
  220.50,   728.37,   221.83
  218.01,   730.14,   346.89
  222.59,   851.78,    95.30
  219.96,   853.35,   219.97
  217.67,   855.18,   345.23
  348.52,   602.14,   101.12
  345.90,   603.85,   226.06
  343.45,   605.66,   351.10
  347.94,   727.16,    99.38
  345.48,   728.84,   224.35
  342.98,   730.74,   349.36
  347.58,   852.02,    97.54
  345.00,   853.72,   222.56
  342.48,   855.76,   347.46
  473.43,   602.64,   103.58
  470.89,   604.33,   228.58
  468.40,   606.18,   353.48
  472.78,   727.59,   101.88
  470.46,   729.46,   226.89
  467.97,   731.10,   351.68
  472.43,   852.81,   100.15
  470.04,   854.37,   225.09
  467.39,   856.11,   350.02
  225.56,   599.90,   225.10
  224.25,   598.86,   350.11
  222.98,   597.85,   475.14
  225.16,   724.87,   226.16
  223.86,   723.83,   351.23
  222.54,   722.66,   476.07
  224.68,   849.85,   227.17
  223.52,   848.85,   352.34
  222.02,   847.70,   477.12
  350.54,   600.25,   226.39
  349.27,   599.25,   351.45
  347.98,   598.25,   476.43
  350.16,   725.26,   227.51
  348.84,   724.33,   352.52
  347.51,   723.13,   477.37
  349.71,   850.21,   228.55
  348.37,   849.36,   353.45
  347.12,   848.06,   478.39
  475.54,   600.65,   227.74
  474.24,   599.69,   352.66
  472.96,   598.63,   477.75
  475.15,   725.78,   228.85
  473.84,   724.61,   353.67
  472.49,   723.48,   478.87
  474.75,   850.73,   229.87
  473.34,   849.61,   354.83
  472.25,   848.58,   480.10
  225.09,   600.15,   351.75
  221.56,   600.97,   476.74
  217.95,   601.73,   601.65
  226.47,   725.12,   351.09
  222.91,   725.75,   475.89
  219.38,   726.62,   601.04
  227.91,   850.14,   350.41
  224.15,   850.82,   475.14
  220.82,   851.75,   600.34
  350.05,   598.79,   355.34
  346.52,   599.62,   480.27
  342.90,   600.35,   605.13
  351.38,   723.86,   354.61
  347.83,   724.49,   479.44
  344.36,   725.38,   604.50
  352.71,   848.89,   353.79
  349.21,   849.41,   478.67
  345.55,   850.39,   603.70
  474.97,   597.49,   358.80
  471.44,   598.24,   483.84
  467.86,   598.96,   608.72
  476.34,   722.39,   358.02
  472.75,   723.10,   483.19
  469.28,   724.00,   608.04
  477.64,   847.38,   357.40
  474.30,   848.18,   482.63
  470.58,   848.99,   607.20
  226.20,   599.14,   475.05
  225.81,   596.18,   599.97
  225.50,   593.18,   724.91
  226.46,   723.92,   477.87
  226.14,   721.08,   603.01
  225.85,   718.16,   727.84
  226.62,   848.92,   480.78
  226.53,   846.14,   606.04
  226.11,   843.07,   730.70
  351.22,   598.85,   475.35
  350.83,   595.87,   600.23
  350.54,   592.88,   725.27
  351.43,   723.71,   478.20
  351.17,   720.87,   603.25
  350.78,   717.79,   728.23
  351.74,   848.60,   481.12
  351.34,   845.92,   606.20
  351.03,   842.84,   731.22
  476.21,   598.54,   475.69
  475.84,   595.55,   600.59
  475.51,   592.62,   725.56
  476.42,   723.38,   478.71
  476.15,   720.54,   603.58
  475.82,   717.67,   728.52
  476.87,   848.43,   481.83
  476.39,   845.54,   606.43
  476.24,   842.60,   731.52
  226.16,   598.87,   598.22
  227.87,   601.30,   723.15
  229.59,   603.82,   848.17
  224.22,   723.73,   595.84
  225.96,   726.28,   720.69
  227.61,   728.81,   845.65
  222.30,   848.80,   593.44
  223.93,   851.14,   718.11
  225.49,   853.67,   843.25
  351.14,   600.79,   596.42
  352.87,   603.22,   721.44
  354.60,   605.81,   846.43
  349.22,   725.79,   594.04
  350.86,   728.20,   719.02
  352.63,   730.60,   843.95
  347.08,   850.74,   591.50
  348.72,   853.13,   716.48
  350.75,   855.52,   841.47
  476.14,   602.71,   594.74
  477.81,   605.23,   719.68
  479.53,   607.71,   844.82
  474.19,   727.71,   592.34
  475.86,   730.29,   717.21
  477.49,   732.85,   842.31
  472.13,   852.66,   589.78
  473.90,   855.08,   714.70
  475.48,   857.80,   839.95
  349.91,   100.27,    99.70
  352.90,    98.11,   224.63
  355.93,    96.00,   349.60
  351.86,   225.20,   101.83
  354.98,   223.13,   226.75
  358.00,   220.94,   351.68
  354.08,   350.20,   103.83
  357.04,   347.99,   228.76
  360.07,   345.94,   353.77
  474.83,    98.25,    96.66
  477.82,    96.09,   221.60
  480.85,    93.99,   346.53
  476.80,   223.21,    98.71
  479.92,   221.12,   223.72
  482.93,   218.94,   348.61
  479.01,   348.15,   100.80
  481.95,   345.98,   225.75
  485.01,   343.94,   350.69
  599.74,    96.17,    93.54
  602.78,    94.04,   218.48
  605.77,    91.98,   343.45
  601.79,   221.24,    95.66
  604.87,   219.14,   220.55
  607.93,   216.90,   345.54
  603.93,   346.06,    97.71
  606.90,   343.93,   222.65
  609.94,   341.88,   347.63
  348.23,    99.94,   224.57
  348.62,    99.88,   349.59
  349.04,    99.84,   474.60
  350.17,   224.98,   224.66
  350.56,   224.85,   349.65
  350.99,   224.77,   474.68
  352.10,   349.86,   224.65
  352.50,   349.86,   349.72
  352.92,   349.82,   474.70
  473.20,    98.01,   224.21
  473.60,    97.95,   349.19
  474.04,    97.89,   474.18
  475.15,   223.03,   224.30
  475.53,   222.93,   349.25
  475.95,   222.87,   474.24
  477.05,   347.93,   224.30
  477.48,   347.95,   349.30
  477.90,   347.89,   474.30
  598.19,    96.05,   223.76
  598.56,    96.01,   348.77
  599.05,    95.98,   473.79
  600.14,   221.14,   223.80
  600.57,   220.97,   348.84
  600.93,   220.95,   473.84
  602.05,   345.96,   223.87
  602.46,   345.97,   348.91
  602.87,   345.92,   473.88
  348.58,    98.93,   350.38
  347.71,   101.32,   475.35
  346.83,   103.66,   600.31
  345.98,   223.86,   347.97
  345.13,   226.23,   472.97
  344.26,   228.65,   597.94
  343.40,   348.83,   345.58
  342.53,   351.24,   470.55
  341.60,   353.59,   595.47
  473.54,   101.52,   351.20
  472.67,   103.88,   476.15
  471.77,   106.26,   601.13
  470.94,   226.49,   348.80
  470.09,   228.88,   473.77
  469.22,   231.24,   598.76
  468.35,   351.47,   346.40
  467.49,   353.85,   471.37
  466.61,   356.19,   596.34
  598.52,   104.13,   352.02
  597.68,   106.53,   477.00
  596.75,   108.91,   601.97
  595.95,   229.08,   349.62
  595.05,   231.50,   474.59
  594.20,   233.87,   599.56
  593.32,   354.04,   347.23
  592.45,   356.43,   472.19
  591.59,   358.79,   597.16
  350.40,    98.96,   476.27
  351.15,   100.30,   601.23
  351.91,   101.66,   726.23
  347.71,   223.85,   474.91
  348.47,   225.28,   599.90
  349.25,   226.71,   724.88
  345.01,   348.89,   473.52
  345.72,   350.24,   598.46
  346.51,   351.54,   723.49
  475.36,   101.59,   475.46
  476.08,   102.96,   600.45
  476.87,   104.38,   725.44
  472.67,   226.59,   474.10
  473.43,   227.96,   599.10
  474.16,   229.31,   724.09
  469.98,   351.58,   472.74
  470.72,   352.92,   597.73
  471.47,   354.32,   722.70
  600.36,   104.31,   474.69
  601.06,   105.68,   599.67
  601.85,   107.05,   724.65
  597.62,   229.29,   473.30
  598.41,   230.65,   598.30
  599.18,   232.06,   723.28
  594.94,   354.23,   471.94
  595.70,   355.59,   596.93
  596.46,   356.96,   721.93
  349.55,    98.91,   600.29
  347.42,    95.81,   725.24
  345.25,    92.74,   850.20
  352.01,   223.86,   603.43
  349.91,   220.85,   728.37
  347.82,   217.74,   853.26
  354.40,   348.78,   606.46
  352.30,   345.63,   731.44
  350.19,   342.67,   856.45
  474.49,    96.40,   602.35
  472.39,    93.38,   727.30
  470.31,    90.32,   852.26
  476.95,   221.34,   605.49
  474.80,   218.24,   730.43
  472.60,   215.13,   855.31
  479.38,   346.27,   608.57
  477.25,   343.24,   733.51
  475.13,   340.16,   858.49
  599.46,    93.89,   604.41
  597.38,    90.81,   729.38
  595.15,    87.72,   854.31
  601.92,   218.86,   607.54
  599.80,   215.83,   732.46
  597.75,   212.79,   857.41
  604.35,   343.76,   610.63
  602.25,   340.70,   735.59
  600.15,   337.61,   860.58
  350.44,   226.88,   101.26
  349.03,   227.92,   226.22
  347.54,   228.86,   351.20
  348.17,   351.89,   100.18
  346.61,   352.79,   225.14
  345.12,   353.85,   350.18
  345.53,   476.75,    99.19
  344.20,   477.84,   224.24
  342.68,   478.76,   349.13
  475.43,   229.32,   102.68
  473.99,   230.32,   227.73
  472.49,   231.31,   352.66
  473.11,   354.27,   101.67
  471.54,   355.24,   226.66
  470.08,   356.31,   351.64
  470.54,   479.33,   100.68
  469.18,   480.36,   225.68
  467.65,   481.28,   350.59
  600.42,   231.79,   104.16
  598.96,   232.76,   229.10
  597.49,   233.72,   354.13
  598.05,   356.65,   103.11
  596.53,   357.64,   228.10
  595.05,   358.68,   353.12
  595.53,   481.75,   102.10
  594.14,   482.75,   227.08
  592.66,   483.66,   352.09
  350.10,   225.77,   225.88
  350.30,   224.61,   350.87
  350.55,   223.49,   475.89
  353.75,   350.62,   226.92
  353.97,   349.57,   351.98
  354.21,   348.50,   476.95
  357.43,   475.64,   228.14
  357.62,   474.47,   353.05
  357.89,   473.31,   478.11
  475.03,   222.11,   225.67
  475.24,   220.96,   350.61
  475.49,   219.85,   475.61
  478.67,   346.96,   226.72
  478.92,   345.94,   351.71
  479.16,   344.83,   476.70
  482.38,   472.06,   227.85
  482.58,   470.88,   352.78
  482.82,   469.75,   477.82
  600.00,   218.49,   225.32
  600.24,   217.27,   350.36
  600.42,   216.21,   475.36
  603.63,   343.27,   226.43
  603.85,   342.23,   351.46
  604.09,   341.14,   476.43
  607.34,   468.35,   227.55
  607.56,   467.16,   352.55
  607.75,   466.05,   477.54
  350.47,   223.82,   351.07
  349.56,   222.34,   476.08
  348.63,   220.94,   601.08
  347.55,   348.80,   352.51
  346.63,   347.38,   477.48
  345.66,   345.89,   602.42
  344.59,   473.70,   353.91
  343.71,   472.19,   478.97
  342.80,   470.84,   603.95
  475.42,   226.76,   352.02
  474.52,   225.30,   477.02
  473.59,   223.83,   602.02
  472.49,   351.75,   353.46
  471.59,   350.28,   478.44
  470.66,   348.79,   603.43
  469.57,   476.70,   354.86
  468.66,   475.21,   479.91
  467.75,   473.81,   604.89
  600.42,   229.65,   352.99
  599.46,   228.23,   477.96
  598.56,   226.76,   602.96
  597.46,   354.61,   354.42
  596.55,   353.16,   479.39
  595.63,   351.69,   604.38
  594.56,   479.56,   355.85
  593.62,   478.10,   480.83
  592.70,   476.70,   605.82
  348.59,   225.85,   474.36
  350.12,   222.75,   599.32
  351.67,   219.68,   724.26
  347.21,   350.87,   477.48
  348.68,   347.71,   602.39
  350.24,   344.49,   727.38
  345.84,   475.68,   480.69
  347.36,   472.66,   605.63
  348.91,   469.55,   730.62
  473.57,   227.31,   472.85
  475.09,   224.16,   597.82
  476.59,   221.00,   722.77
  472.19,   352.28,   476.00
  473.70,   349.11,   600.95
  475.22,   346.00,   725.88
  470.81,   477.22,   479.19
  472.34,   474.13,   604.12
  473.88,   470.98,   729.06
  598.53,   228.74,   471.36
  600.09,   225.59,   596.32
  601.62,   222.49,   721.25
  597.16,   353.66,   474.49
  598.69,   350.52,   599.45
  600.23,   347.38,   724.41
  595.77,   478.60,   477.66
  597.32,   475.52,   602.61
  598.84,   472.33,   727.57
  350.17,   226.69,   599.36
  347.22,   223.86,   724.30
  344.28,   220.97,   849.20
  347.61,   351.61,   602.11
  344.66,   348.66,   727.07
  341.69,   345.88,   852.09
  345.15,   476.56,   605.02
  342.20,   473.72,   729.98
  339.15,   470.81,   854.77
  475.10,   229.11,   602.41
  472.10,   226.21,   727.34
  469.04,   223.30,   852.23
  472.58,   354.06,   605.20
  469.59,   351.21,   730.12
  466.60,   348.33,   855.08
  470.09,   479.06,   608.04
  467.11,   476.17,   732.96
  464.09,   473.21,   857.83
  600.06,   231.56,   605.44
  597.08,   228.73,   730.35
  594.14,   225.87,   855.30
  597.53,   356.49,   608.24
  594.55,   353.61,   733.18
  591.59,   350.72,   858.16
  595.01,   481.48,   611.06
  592.03,   478.55,   736.00
  589.03,   475.80,   860.87
  348.21,   351.12,    99.10
  349.58,   347.74,   224.01
  351.02,   344.51,   349.03
  347.79,   475.98,   102.43
  349.37,   472.78,   227.44
  350.78,   469.42,   352.29
  347.79,   600.99,   105.67
  349.13,   597.67,   230.63
  350.60,   594.42,   355.64
  473.19,   351.34,    97.69
  474.53,   347.99,   222.63
  476.00,   344.78,   347.58
  472.82,   476.37,   101.02
  474.37,   473.11,   225.97
  475.79,   469.75,   350.85
  472.72,   601.26,   104.23
  474.13,   597.90,   229.22
  475.57,   594.70,   354.11
  598.15,   351.51,    96.23
  599.54,   348.22,   221.17
  600.99,   344.99,   346.15
  597.83,   476.61,    99.53
  599.37,   473.32,   224.48
  600.81,   469.93,   349.45
  597.73,   601.37,   102.85
  599.09,   598.13,   227.79
  600.57,   594.91,   352.73
  350.21,   348.37,   226.50
  349.86,   345.15,   351.53
  349.53,   341.89,   476.47
  349.40,   473.40,   229.92
  349.02,   470.04,   354.79
  348.71,   466.68,   479.81
  348.56,   598.29,   233.12
  348.24,   595.06,   358.14
  347.91,   591.80,   483.08
  475.18,   349.18,   226.93
  474.84,   345.97,   351.89
  474.52,   342.68,   476.84
  474.41,   474.30,   230.26
  474.03,   470.93,   355.16
  473.71,   467.60,   480.16
  473.57,   599.08,   233.51
  473.22,   595.89,   358.41
  472.90,   592.58,   483.46
  600.18,   349.96,   227.28
  599.84,   346.73,   352.26
  599.50,   343.44,   477.20
  599.41,   475.05,   230.58
  599.06,   471.67,   355.55
  598.69,   468.37,   480.50
  598.54,   599.87,   233.89
  598.22,   596.66,   358.84
  597.88,   593.33,   483.82
  349.98,   351.77,   351.78
  346.72,   349.88,   476.71
  343.40,   347.92,   601.60
  347.49,   476.68,   353.61
  344.27,   474.69,   478.62
  340.99,   472.87,   603.56
  345.06,   601.71,   355.53
  341.80,   599.82,   480.45
  338.46,   597.86,   605.31
  474.91,   354.22,   355.09
  471.65,   352.29,   480.03
  468.36,   350.32,   604.96
  472.44,   479.18,   356.92
  469.19,   477.22,   481.92
  465.92,   475.35,   606.86
  469.97,   604.14,   358.74
  466.72,   602.21,   483.78
  463.41,   600.23,   608.65
  599.84,   356.59,   358.41
  596.58,   354.67,   483.32
  593.30,   352.73,   608.27
  597.41,   481.54,   360.26
  594.10,   479.61,   485.19
  590.84,   477.74,   610.13
  594.91,   606.53,   362.12
  591.64,   604.59,   487.10
  588.39,   602.68,   611.95
  351.45,   348.97,   474.85
  352.83,   348.92,   599.79
  354.28,   348.83,   724.82
  349.92,   473.81,   474.93
  351.34,   473.91,   599.92
  352.79,   473.93,   724.94
  348.38,   598.97,   474.93
  349.74,   598.92,   599.84
  351.21,   598.84,   724.91
  476.43,   350.51,   473.43
  477.84,   350.45,   598.43
  479.25,   350.46,   723.40
  474.89,   475.47,   473.49
  476.32,   475.50,   598.48
  477.75,   475.48,   723.46
  473.35,   600.48,   473.53
  474.75,   600.41,   598.46
  476.15,   600.41,   723.45
  601.40,   352.01,   472.00
  602.83,   351.97,   596.99
  604.26,   351.95,   721.99
  599.86,   476.97,   472.04
  601.29,   477.01,   597.02
  602.72,   476.95,   722.03
  598.32,   601.98,   472.11
  599.76,   601.99,   597.01
  601.19,   601.95,   722.10
  351.62,   349.20,   599.88
  350.68,   351.92,   724.88
  349.74,   354.80,   849.92
  349.69,   474.15,   597.16
  348.74,   477.00,   722.15
  347.73,   479.75,   847.01
  347.63,   599.14,   594.24
  346.70,   601.86,   719.26
  345.78,   604.74,   844.24
  476.63,   351.21,   600.86
  475.66,   354.04,   725.80
  474.71,   356.84,   850.79
  474.67,   476.22,   598.06
  473.70,   479.02,   723.01
  472.72,   481.72,   847.94
  472.63,   601.09,   595.20
  471.65,   603.91,   720.15
  470.71,   606.69,   845.28
  601.62,   353.20,   601.77
  600.66,   356.01,   726.75
  599.72,   358.80,   851.74
  599.63,   478.21,   598.96
  598.67,   480.96,   723.93
  597.68,   483.86,   848.83
  597.65,   603.15,   596.10
  596.69,   605.94,   721.15
  595.77,   608.74,   846.04
  351.69,   474.36,    99.99
  355.51,   471.74,   224.97
  359.14,   468.95,   349.79
  350.25,   599.38,   102.73
  353.81,   596.63,   227.63
  357.51,   593.96,   352.60
  348.42,   724.31,   105.40
  352.19,   721.60,   230.47
  355.84,   719.00,   355.38
  476.65,   476.24,    96.37
  480.45,   473.57,   221.30
  484.10,   470.78,   346.15
  475.16,   601.14,    99.08
  478.75,   598.35,   224.03
  482.43,   595.73,   348.88
  473.28,   726.06,   101.89
  477.13,   723.43,   226.86
  480.79,   720.61,   351.60
  601.61,   477.97,    92.69
  605.38,   475.26,   217.61
  609.07,   472.45,   342.54
  600.10,   602.75,    95.46
  603.65,   600.05,   220.41
  607.38,   597.44,   345.30
  598.37,   727.92,    98.20
  602.07,   725.15,   223.22
  605.73,   722.39,   348.01
  351.68,   476.17,   224.61
  352.35,   473.09,   349.48
  353.11,   470.01,   474.50
  351.48,   601.06,   227.52
  352.22,   598.11,   352.55
  352.96,   595.13,   477.50
  351.36,   726.05,   230.61
  352.05,   723.14,   355.57
  352.74,   719.99,   480.42
  476.68,   476.44,   223.87
  477.37,   473.34,   348.76
  478.09,   470.29,   473.77
  476.49,   601.22,   226.85
  477.20,   598.31,   351.74
  477.94,   595.28,   476.80
  476.37,   726.32,   229.93
  477.07,   723.19,   354.72
  477.73,   720.11,   479.89
  601.68,   476.57,   223.11
  602.40,   473.47,   348.08
  603.08,   470.45,   473.03
  601.45,   601.38,   226.15
  602.20,   598.45,   351.09
  602.93,   595.42,   476.09
  601.36,   726.47,   229.18
  602.06,   723.42,   354.07
  602.75,   720.51,   479.16
  350.17,   473.55,   350.59
  350.96,   473.99,   475.65
  351.69,   474.59,   600.64
  346.64,   598.55,   350.16
  347.39,   599.10,   475.15
  348.07,   599.57,   600.05
  343.08,   723.58,   349.71
  343.79,   723.94,   474.56
  344.60,   724.55,   599.66
  475.14,   477.19,   349.83
  475.89,   477.66,   474.88
  476.64,   478.21,   599.88
  471.57,   602.13,   349.32
  472.33,   602.63,   474.40
  473.03,   603.07,   599.34
  468.04,   727.02,   348.80
  468.71,   727.42,   473.99
  469.53,   728.07,   598.93
  600.12,   480.70,   349.11
  600.82,   481.18,   474.10
  601.57,   481.75,   599.09
  596.52,   605.66,   348.62
  597.26,   606.15,   473.66
  598.02,   606.67,   598.56
  592.98,   730.60,   348.08
  593.69,   731.21,   473.24
  594.45,   731.62,   597.99
  350.79,   475.43,   476.99
  350.22,   478.34,   601.95
  349.69,   481.19,   726.94
  351.86,   600.56,   474.16
  351.23,   603.32,   599.03
  350.70,   606.05,   724.07
  352.88,   725.41,   471.26
  352.39,   728.33,   596.34
  351.76,   731.04,   721.32
  475.78,   474.48,   477.56
  475.21,   477.34,   602.52
  474.65,   480.13,   727.47
  476.84,   599.47,   474.75
  476.25,   602.21,   599.67
  475.66,   605.04,   724.63
  477.86,   724.30,   472.04
  477.38,   727.22,   596.94
  476.79,   730.10,   721.85
  600.75,   473.40,   478.12
  600.20,   476.26,   603.08
  599.63,   479.01,   728.06
  601.83,   598.38,   475.36
  601.28,   601.21,   600.24
